municipality,ibge_tipo,geo_class,geo4,cd_gcmun
CERQUEIRA CESAR,Urbano,Urbano,Urbano,3511409
PARAIBUNA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3535606
BARIRI,Urbano,Urbano,Urbano,3505203
PIRAJUI,Urbano,Urbano,Urbano,3538907
AGUDOS,Urbano,Urbano,Urbano,3500709
CAFELANDIA,Urbano,Urbano,Urbano,3508801
GETULINA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3517000
SALES OLIVEIRA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3544905
MACATUBA,Urbano,Urbano,Urbano,3528007
IACANGA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3519105
BROTAS,Urbano,Urbano,Urbano,3507902
AVAI,RuralAdjacente,RuralAdjacente,RuralAdjacente,3504305
ORLANDIA,Urbano,Urbano,Urbano,3534302
DUARTINA,Urbano,Urbano,Urbano,3514502
LINS,Urbano,Urbano,Urbano,3527108
PROMISSAO,Urbano,Urbano,Urbano,3541604
REGINOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3542503
AREALVA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3503406
MIRACATU,RuralAdjacente,RuralAdjacente,RuralAdjacente,3529906
IGARACU DO TIETE,Urbano,Urbano,Urbano,3520004
IBIUNA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3519709
BOM JESUS DOS PERDOES,Urbano,Urbano,Urbano,3507100
ITAPOLIS,Urbano,Urbano,Urbano,3522703
GUAICARA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3517208
SOCORRO,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3552106
BOCAINA,IntermediarioAdjacente,IntermediarioAdjacente,IntermediarioAdjacente,3506805
LUCIANOPOLIS,RuralAdjacente,RuralAdjacente,RuralAdjacente,3527504
JUQUIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3526100
ALUMINIO,Urbano,Urbano,Urbano,3501152
ITAPUI,Urbano,Urbano,Urbano,3522901
SANTO ANTONIO DA ALEGRIA,RuralAdjacente,RuralAdjacente,RuralAdjacente,3547908
CAJURU,Urbano,Urbano,Urbano,3509403
